model,mean_latest_train_loss,std_latest_train_loss,mean_latest_val_loss,std_latest_val_loss,mean_best_train_loss,std_best_train_loss,mean_best_val_loss,std_best_val_loss,avg_best_epoch
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=8_crit=MSELoss,0.4699090917320813,0.0158061012158123,1.1677626132965089,0.1367849790986655,0.8833490543505725,0.0761026373841501,0.9561431116527984,0.1613647780786653,13
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.0004_batch=32_crit=MSELoss,0.4777178042464786,0.0194717443007686,1.2174335122108462,0.3129647041418886,0.8704070448875427,0.0627300223306462,1.00921851793925,0.2732901390838386,13
cnn3d_gelu_0_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.4733429872989654,0.0337569391268873,1.2045843064785005,0.4393652034541376,0.7198021245002747,0.1599941185826233,1.0088383615016938,0.350931959104767,41
cnn3d_gelu_0_5/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6619903026258245,0.0229796529084918,1.0984057426452636,0.1558545033183768,0.853723558958839,0.0459953909290603,0.9576486812697518,0.167307046363115,23
cnn3d_dropout_5_5/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.9194287443161012,0.0641603518019683,1.090432417392731,0.4105013969227538,0.9397357487678528,0.0770871560819244,1.0311169147491457,0.3921856858070608,59
cnn3d_dropout_5_0/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.7998066782951355,0.0323542262885401,1.0805338412523269,0.4311393983997655,0.89492693901062,0.0690783613529343,1.0148112565279006,0.3824533056376868,51
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=64_crit=MSELoss,0.7764826226234435,0.0507883681622051,1.066507914662361,0.3950011754232376,0.8436322402954103,0.081423379044707,0.9978564649820328,0.3717858243557269,60
cnn3d_gelu_2_6/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.7312769064131905,0.0251071088913276,1.01227565407753,0.1665280863768587,0.8322822734713554,0.0721545392187076,0.9360914998584324,0.1520921456653189,54
cnn3d_big_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.724854054521112,0.0432216975887642,1.0186292125119103,0.1485917572424324,0.832292615666109,0.0791866279862056,0.9505459275510576,0.1602994079616842,27
cnn3d_huge_kernal/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.7084946316831252,0.0729254133275285,1.1213883770836723,0.1421048684976725,0.8820150543661679,0.067146966784164,0.9630659997463228,0.1637664249433477,16
cnn3d_3_layer/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.6725243447458042,0.03264878078289,1.0769919256369271,0.1370962842543923,0.9104849834652508,0.060583578810522,0.9607293446858725,0.1605712119439727,12
cnn3d_3_layer_big/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.61259523489896,0.032916253387864,1.092382604546017,0.1856458157176852,0.895770915816812,0.0414644889801014,0.9641549421681296,0.1631865379052378,12
cnn3d_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8818727731704712,0.0540635760371793,1.0064040833049348,0.1841489788540029,0.916313146668322,0.0539079437087144,0.9664325118064878,0.1644147693759306,31
cnn3d_3_layer_fewer_channels/level=small/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.82710950120407,0.0484790397085693,0.9835214647981856,0.1695933074840755,0.8705254977240282,0.0667007499119731,0.9497506241003671,0.168800431964044,34
cnn3d_gelu_2_6/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8810731272487079,0.0373963662190359,1.0009297211964925,0.1710719904879056,0.9041251259691576,0.0449149947073125,0.9629834446642134,0.1684392841495656,36
cnn3d_big_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8803811979644438,0.0293477578048985,0.9886701391802896,0.1553639118751181,0.933681146712864,0.0547440054605105,0.9579563207096524,0.1608504580191161,19
cnn3d_huge_kernal/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8882984668016434,0.0427084211886343,0.9955885443422532,0.1601551743308575,0.8902041889288845,0.0399319332552547,0.9606071061558192,0.1611204717878547,36
cnn3d_3_layer/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.859034728302675,0.0401822121734407,0.996137644847234,0.1563370878297442,0.9183034265742582,0.0513824744132325,0.955875086784363,0.1669385567239624,16
cnn3d_3_layer_big/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.8472924250013687,0.0385417414270659,0.9971537278758156,0.1554781590727825,0.9130419226253734,0.0543280903581279,0.9546029170354208,0.1660056178462431,19
cnn3d_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9275094737024868,0.0448628805664425,0.9869527724054123,0.1698553438866682,0.9423133825554568,0.0294778112209628,0.975784577263726,0.1739354569652747,36
cnn3d_3_layer_fewer_channels/level=full/opt=Adam_lr=0.001_batch=8_crit=MSELoss,0.9359737776658115,0.023962468460572803,0.9885079940160114,0.16993409791979158,0.9494576648754233,0.04044190640739205,0.9677116579479641,0.16902715380396413,34
